Year,Hydro Run-of-River,Biomass,Fossil hard coal,Fossil oil,Fossil gas,Other renewables,Waste,Wind offshore,Wind onshore,Solar AC
,Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW)
2025,0.01,1.75,3.02,0.96,1.57,0.14,0.38,2.65,4.86,3.73
